"ANIMAL_TYPE","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","HOUSE_NUMBER","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBLEMCODE","REQUESTID","SRX","SRY","STATUS","STREET","WARD"
"Dog","","2022-03-23 14:20:55.803","2022-03-23 14:20:55.803","2009-04-01 13:32:32.0","","19","Animal Bite","2009-04-08 00:00:00.0","Animal Bite","29035","-10045373.50625510","4663038.53953820","CLOSED","WINNEBAGO & VIRGINIA","07"
"Dog","","2013-05-10 11:47:56.29","2013-05-10 11:47:56.29","2013-03-29 14:24:24.0","2100","23","Animal Bite","2013-04-05 00:00:00.0","Animal Bite","471266","","","CLOSED","RUSSELL","08"
"Dog","","2013-05-16 14:32:03.37","2013-05-16 14:32:03.37","2013-04-01 08:27:04.0","4300","05","Animal Bite","2013-04-08 00:00:00.0","Animal Bite","471501","","","CLOSED","BINGHAM","02"
"Dog","","2013-04-17 09:27:16.0","2013-04-17 09:27:16.82","2013-04-01 15:10:40.0","1200","63","Animal Bite","2013-04-08 00:00:00.0","Animal Bite","471784","","","CLOSED","MADISON ST","14"
"Dog","","2013-04-17 09:29:26.21","2013-04-17 09:29:26.21","2013-04-02 08:21:06.0","1100","63","Animal Bite","2013-04-09 00:00:00.0","Animal Bite","471872","","","CLOSED","BRISTOL LANE","14"
"Dog","","2013-04-17 11:36:48.573","2013-04-17 11:36:48.573","2013-04-05 09:13:00.0","7100","01","Animal Bite","2013-04-12 00:00:00.0","Animal Bite","473165","","","CLOSED","VERMONT","01"
"Dog","","2013-05-03 16:52:55.743","2013-05-03 16:52:55.743","2013-04-05 09:18:46.0","5300","40","Animal Bite","2013-04-12 00:00:00.0","Animal Bite","473171","","","CLOSED","MANCHESTER","09"
"Dog","","2013-05-03 14:52:54.443","2013-05-03 14:52:54.443","2013-04-08 10:27:23.0","5700","07","Animal Bite","2013-04-15 00:00:00.0","Animal Bite","473695","","","CLOSED","WINONA AVE","05"
"Dog","","2013-05-03 16:44:31.86","2013-05-03 16:44:31.86","2013-04-11 10:09:42.0","3800","03","Animal Bite","2013-04-18 00:00:00.0","Animal Bite","474991","","","CLOSED","WILMINGTON AVE","01"
"Cat","","2013-05-07 12:58:24.35","2013-05-07 12:58:24.35","2013-04-19 13:41:04.0","4400","38","Animal Bite","2013-04-26 00:00:00.0","Animal Bite","477447","","","CLOSED","WESTMINSTER PL","09"
"Cat","","2013-05-01 09:51:33.027","2013-05-01 09:51:33.027","2013-04-22 16:00:16.0","1200","41","Animal Bite","2013-04-29 00:00:00.0","Animal Bite","477975","","","CLOSED","MACKLIND","04"
"Cat","","2013-05-06 11:00:29.583","2013-05-06 11:00:29.583","2013-04-25 09:25:15.07","6900","","Animal Bite","2013-05-02 00:00:00.0","Animal Bite","478844","","","CLOSED","PLATEAU","24"
"Dog","","2013-05-07 17:01:33.0","2013-05-07 17:01:33.903","2013-04-29 11:21:01.0","9100","74","Animal Bite","2013-05-06 00:00:00.0","Animal Bite","479698","","","CLOSED","JORDAN AVE","13"
"Dog","2013-04-29 15:45:33.377","","","2013-04-29 11:41:48.0","9100","74","Animal Bite","2013-05-06 00:00:00.0","Animal Bite","479723","","","CANCEL","JORDAN ST","13"
"Dog","","2013-05-31 14:03:00.91","2013-05-31 14:03:00.91","2013-05-02 16:47:38.203","5400","13","Animal Bite","2013-05-09 00:00:00.0","Animal Bite","481259","","","CLOSED","ARSENAL ST","05"
"Dog","","2013-06-04 10:59:55.273","2013-06-04 10:59:55.273","2013-05-22 15:32:23.533","3500","15","Animal Bite","2013-05-30 00:00:00.0","Animal Bite","488075","","","CLOSED","BAMBERGER AVE","06"
"Dog","","2013-07-29 14:54:58.0","2013-07-29 10:28:42.783","2013-05-28 08:32:44.88","6200","08","Animal Bite","2013-06-04 00:00:00.0","Animal Bite","489073","","","CLOSED","DELOR ST","02"
"Unknown or not provided","","2013-06-10 11:09:25.36","2013-06-10 11:09:25.36","2013-06-02 19:23:21.0","900","77","Animal Bite","2013-06-11 00:00:00.0","Animal Bite","491071","","","CLOSED","N GRAND BLVD","11"
"Dog","","2013-06-07 08:53:33.543","2013-06-07 08:53:33.543","2013-06-05 09:38:20.62","4000","27","Animal Bite","2013-06-12 00:00:00.0","Animal Bite","492303","","","CLOSED","CLEVELAND AVE","06"
"Dog","","2013-06-05 15:25:00.0","2013-06-26 09:58:47.44","2013-06-05 10:19:18.617","5400","07","Animal Bite","2013-06-12 00:00:00.0","Animal Bite","492340","","","CLOSED","MURDOCH AVE","05"
"Dog","","2013-06-07 15:33:27.0","2013-06-18 09:15:14.38","2013-06-05 15:31:36.0","8500","02","Animal Bite","2013-06-12 00:00:00.0","Animal Bite","492600","","","CLOSED","PENNSYLVANIA AVE","01"
"Dog","","2013-06-26 16:14:09.0","2013-07-10 14:38:55.94","2013-06-07 13:24:35.867","3100","15","Animal Bite","2013-06-14 00:00:00.0","Animal Bite","493562","","","CLOSED","ROGER PL","06"
"Cat","","2013-06-12 10:36:52.0","2013-06-20 11:52:52.96","2013-06-12 13:40:00.0","4000","69","Animal Bite","2013-06-19 00:00:00.0","Animal Bite","495375","","","CLOSED","SHREVE AVE","12"
"Dog","","2013-06-26 10:42:27.0","2013-06-26 16:18:49.837","2013-06-13 08:27:48.0","2800","16","Animal Bite","2013-06-20 00:00:00.0","Animal Bite","495678","","","CLOSED","OSAGE","03"
"Dog","","2013-06-13 10:44:32.0","2013-06-26 10:13:45.063","2013-06-13 14:53:02.817","2700","","Animal Bite","2013-06-20 00:00:00.0","Animal Bite","495982","","","CLOSED","MIAMI","20"
"Dog","","2013-06-20 10:46:07.0","2013-07-15 16:50:58.747","2013-06-14 08:21:13.013","1200","32","Animal Bite","2013-06-21 00:00:00.0","Animal Bite","496103","","","CLOSED","S JEFFERSON AVE","08"
"Dog","","2013-04-17 09:09:11.157","2013-04-17 09:09:11.157","2013-04-05 11:57:55.0","2300","36","Animal Bite","2013-04-12 00:00:00.0","Animal Bite","473315","","","CLOSED","PINE","14"
"Dog","","2013-05-10 11:32:36.537","2013-05-10 11:32:36.537","2013-04-30 15:54:08.557","4400","68","Animal Bite","2013-05-07 00:00:00.0","Animal Bite","480326","","","CLOSED","CLARENCE AVE","11"
"Dog","","2013-05-10 11:52:15.43","2013-05-10 11:52:15.43","2013-05-02 11:31:36.0","4700","06","Animal Bite","2013-05-09 00:00:00.0","Animal Bite","481052","","","CLOSED","ALMA AVE","02"
"Dog","","2013-05-15 11:50:19.543","2013-05-15 11:50:19.543","2013-05-09 13:52:09.013","3000","30","Animal Bite","2013-05-16 00:00:00.0","Animal Bite","483505","","","CLOSED","CALIFORNIA AVE","07"
"Dog","","2013-05-16 14:26:36.0","2013-12-12 11:29:41.267","2013-05-15 12:00:48.53","4400","","Animal Bite","2013-05-22 00:00:00.0","Animal Bite","485323","","","CLOSED","LABADIE AVE","12"
"Dog","","2013-05-28 09:51:08.067","2013-05-28 09:51:08.067","2013-05-16 10:30:10.76","5100","52","Animal Bite","2013-05-23 00:00:00.0","Animal Bite","485698","","","CLOSED","ST LOUIS AVE","12"
"Dog","","2013-05-24 14:40:02.0","2013-12-12 11:36:42.423","2013-05-24 13:41:44.867","2100","24","Animal Bite","2013-06-03 00:00:00.0","Animal Bite","488793","","","CLOSED","OREGON AVE","07"
"Dog","","2013-06-04 12:00:10.923","2013-06-04 12:00:10.923","2013-05-29 11:33:05.287","4700","","Animal Bite","2013-06-05 00:00:00.0","Animal Bite","489770","","","CLOSED","MORGANFORD","14"
"Dog","","2013-06-05 11:52:53.533","2013-06-05 11:52:53.533","2013-05-30 11:50:54.573","5300","71","Animal Bite","2013-06-06 00:00:00.0","Animal Bite","490354","","","CLOSED","CLAXTON AVE","13"
"Dog","","2013-06-06 15:03:27.0","2013-06-28 08:08:47.723","2013-05-31 10:39:22.0","4300","57","Animal Bite","2013-06-10 00:00:00.0","Animal Bite","490717","","","CLOSED","GARFIELD","12"
"Dog","","2013-06-07 11:38:38.6","2013-06-07 11:38:38.6","2013-05-31 13:29:41.0","300","02","Animal Bite","2013-06-07 00:00:00.0","Animal Bite","490808","","","CLOSED","E COURTOIS ST","01"
"Cat","","2013-06-04 15:16:38.0","2013-12-12 11:42:49.037","2013-06-04 16:51:15.837","5500","07","Animal Bite","2013-06-11 00:00:00.0","Animal Bite","492140","","","CLOSED","NEOSHO ST","05"
"Dog","","2013-06-06 15:36:23.0","2013-06-18 09:32:48.663","2013-06-06 08:58:11.373","2900","26","Animal Bite","2013-06-13 00:00:00.0","Animal Bite","492790","","","CLOSED","ALLEN AVE","06"
"Dog","","2013-06-14 11:09:53.0","2013-06-26 10:19:12.52","2013-06-14 10:08:56.653","6200","11","Animal Bite","2013-06-21 00:00:00.0","Animal Bite","496221","","","CLOSED","MAGNOLIA AVE","04"
"Dog","","2013-12-12 12:15:11.99","2013-12-12 12:15:11.99","2013-06-21 11:59:19.403","3200","09","Animal Bite","2013-06-28 00:00:00.0","Animal Bite","498987","","","CLOSED","WATSON RD","04"
"Dog","","2013-08-15 17:20:56.58","2013-08-15 17:20:56.58","2013-06-26 09:25:11.54","4000","","Animal Bite","2013-07-03 00:00:00.0","Animal Bite","500451","","","CLOSED","HOLLY HILLS","13"
"Dog","","2013-07-15 14:49:09.443","2013-07-15 14:49:09.443","2013-06-26 21:04:28.0","5800","","Animal Bite","2013-07-05 00:00:00.0","Animal Bite","500969","","","CLOSED","LORAN AV","16"
"Dog","","2013-10-16 09:11:42.667","2013-10-16 09:11:42.667","2013-07-03 16:34:51.763","3200","14","Animal Bite","2013-07-11 00:00:00.0","Animal Bite","503678","","","CLOSED","JANUARY AVE","05"
"Dog","","2013-12-12 12:44:17.0","2013-12-12 12:44:17.187","2013-07-25 11:12:44.0","4400","39","Animal Bite","2013-08-01 00:00:00.0","Animal Bite","511307","","","CLOSED","ARCO AVE","09"
"Dog","","2013-12-12 13:00:53.0","2013-12-12 13:00:53.273","2013-07-29 16:14:22.0","4800","69","Animal Bite","2013-08-05 00:00:00.0","Animal Bite","512547","","","CLOSED","SAN FRANCISCO AVE","12"
"Dog","","2013-12-12 13:08:56.22","2013-12-12 13:08:56.22","2013-08-06 16:38:46.603","4200","38","Animal Bite","2013-08-13 00:00:00.0","Animal Bite","515767","","","CLOSED","LACLEDE AVE","09"
"Dog","","2013-09-03 14:55:45.303","2013-09-03 14:55:45.303","2013-08-12 09:33:04.423","6100","05","Animal Bite","2013-08-19 00:00:00.0","Animal Bite","517445","","","CLOSED","WANDA AVE","01"
"Dog","","2013-11-21 10:32:53.407","2013-11-21 10:32:53.407","2013-09-09 14:51:08.0","4400","66","Animal Bite","2013-09-16 00:00:00.0","Animal Bite","527869","","","CLOSED","STRODTMAN AVE","14"
"Dog","","2013-12-13 14:48:33.577","2013-12-13 14:48:33.577","2013-09-10 15:46:09.517","4400","66","Animal Bite","2013-09-17 00:00:00.0","Animal Bite","528366","","","CLOSED","STRODTMAN PL","14"
"Cat","","2013-10-07 10:49:19.0","2013-10-07 10:49:19.023","2013-09-11 08:23:46.0","4900","","Animal Bite","2013-09-18 00:00:00.0","Animal Bite","528496","","","CLOSED","OLEATHA","10"
